Date,Farm,MilkingAmount,MilkingTime,MilkingMaxAmount
2020-05-12,Вереск,15282.4,387271,6031.42
2020-05-12,Клевер,0.0,0,0.0
2020-05-12,Магнолия,33608.86,1020367,0.0
2020-05-12,Ромашка,22097.5,761834,6541.1
2020-05-12,Сирень,38913.98,1060187,0.0
2020-05-13,Ромашка,4822.6,199334,197.45
2020-05-13,Вереск,20038.27,565278,8644.0
2020-05-13,Клевер,0.0,0,0.0
2020-05-13,Магнолия,32658.73,986692,0.0
2020-05-13,Сирень,38685.04,1050999,0.0
2020-05-14,Клевер,0.0,0,0.0
2020-05-14,Сирень,37668.16,1042743,0.0
2020-05-14,Ромашка,10875.1,426274,415.5
2020-05-14,Вереск,12477.15,330563,5045.83
2020-05-14,Магнолия,32367.8,993267,0.0
2020-05-15,Клевер,0.0,0,0.0
2020-05-15,Магнолия,33901.21,1029597,0.0
2020-05-15,Ромашка,6602.2,284395,307.98
2020-05-15,Сирень,37523.51,1064726,0.0
2020-05-16,Клевер,0.0,0,0.0
2020-05-16,Магнолия,34039.47,1031560,0.0
2020-05-16,Ромашка,7022.1,302354,305.63
2020-05-16,Сирень,38211.32,1084249,0.0
2020-05-17,Магнолия,35475.14,1056457,0.0
2020-05-17,Сирень,38652.32,1067965,0.0
2020-05-17,Ромашка,62749.7,1744986,24052.8
2020-05-17,Вереск,35714.05,1016234,14361.09
2020-05-17,Клевер,0.0,0,0.0
2020-05-18,Сирень,39924.67,1112578,0.0
2020-05-18,Вереск,43838.61,1206888,17181.86
2020-05-18,Клевер,0.0,0,0.0
2020-05-18,Магнолия,34581.53,1042901,0.0
2020-05-18,Ромашка,69391.1,1972596,23481.93
2020-05-19,Магнолия,35222.07,1067896,0.0
2020-05-19,Ромашка,64583.5,1799446,23410.82
2020-05-19,Вереск,37467.46,1021471,15034.13
2020-05-19,Клевер,0.0,0,0.0
2020-05-19,Сирень,37061.66,1067716,0.0
2020-05-20,Сирень,37317.39,1022056,0.0
2020-05-20,Ромашка,64500.1,1831401,22443.19
2020-05-20,Магнолия,35909.02,1082864,0.0
2020-05-20,Клевер,0.0,0,0.0
2020-05-20,Вереск,25107.46,679618,9755.73
2020-05-21,Вереск,29289.92,796582,10522.97
2020-05-21,Клевер,0.0,0,0.0
2020-05-21,Магнолия,35254.21,1064769,0.0
2020-05-21,Ромашка,59164.1,1639560,21755.66
2020-05-21,Сирень,37960.47,1086453,0.0
2020-05-22,Вереск,27612.54,734925,10062.61
2020-05-22,Клевер,0.0,0,0.0
2020-05-22,Магнолия,32784.67,1021166,0.0
2020-05-22,Ромашка,63455.9,1797872,21786.89
2020-05-22,Сирень,37440.68,1057873,0.0
2020-05-23,Сирень,38836.7,1119260,0.0
2020-05-23,Ромашка,67399.4,2023384,22528.1
2020-05-23,Клевер,0.0,0,0.0
2020-05-23,Вереск,7212.32,242278,3290.45
2020-05-23,Магнолия,22059.51,705365,0.0
2020-05-24,Вереск,19458.28,580706,7944.2
2020-05-24,Клевер,0.0,0,0.0
2020-05-24,Ромашка,70372.5,2018774,23138.68
2020-05-24,Сирень,39843.48,1146149,0.0
2020-05-25,Вереск,36619.55,1071601,14021.56
2020-05-25,Клевер,0.0,0,0.0
2020-05-25,Магнолия,11595.53,359372,0.0
2020-05-25,Ромашка,61737.2,1666055,22599.0
2020-05-25,Сирень,38528.16,1080907,0.0
2020-05-26,Сирень,38571.86,1110791,0.0
2020-05-26,Ромашка,66484.6,1867618,22526.28
2020-05-26,Магнолия,33976.39,1083697,0.0
2020-05-26,Клевер,0.0,0,0.0
2020-05-26,Вереск,38588.19,1092257,13819.51
2020-05-27,Вереск,23828.31,640576,7551.91
2020-05-27,Клевер,0.0,0,0.0
2020-05-27,Магнолия,33349.67,1055336,0.0
2020-05-27,Ромашка,61687.3,1676320,21706.83
2020-05-27,Сирень,37030.67,1065808,0.0
2020-05-28,Вереск,37044.2,1047833,14728.96
2020-05-28,Клевер,0.0,0,0.0
2020-05-28,Магнолия,33353.68,1027093,0.0
2020-05-28,Ромашка,60762.8,1798105,23693.46
2020-05-28,Сирень,36347.03,1034174,0.0
2020-05-29,Сирень,39674.53,1102747,0.0
2020-05-29,Ромашка,45113.8,1193577,14507.3
2020-05-29,Клевер,0.0,0,0.0
2020-05-29,Вереск,37592.42,1061414,14952.53
2020-05-29,Магнолия,34695.66,1046036,0.0
2020-05-30,Вереск,38765.1,1108255,16144.06
2020-05-30,Клевер,0.0,0,0.0
2020-05-30,Магнолия,34557.19,1050067,0.0
2020-05-30,Ромашка,61028.5,1713672,22574.0
2020-05-30,Сирень,39178.48,1109263,0.0
2020-05-31,Сирень,38441.47,1060074,0.0
2020-05-31,Вереск,38475.42,1072748,16169.39
2020-05-31,Клевер,0.0,0,0.0
2020-05-31,Магнолия,32121.68,969404,0.0
2020-05-31,Ромашка,45218.7,1335519,14695.51
2020-06-01,Магнолия,33338.44,1016467,0.0
2020-06-01,Ромашка,46400.6,1320203,15931.81
2020-06-01,Вереск,40044.3,1119137,16941.94
2020-06-01,Клевер,0.0,0,0.0
